No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
141,"Western Asia",TR,Turkey,Manti,"Manti, also manty, mantu  or manta, is a type of dumpling popular in most Turkic cuisines, as well as in the cuisines of the South Caucasus, Central Asia, Afghanistan, Balkans, Bukharan Jews, Chinese Muslims. Nowadays, manti are also consumed throughout Russia and other post-Soviet countries, where the dish spread from the Central Asian republics. The dumplings typically consist of a spiced meat mixture, usually lamb or ground beef in a dough wrapper and either boiled or steamed. Size and shape vary significantly depending on the geographical location. Manti resemble the Chinese jiaozi and baozi, Korean mandu, Mongolian buuz and the Tibetan momo and the dish's name is cognate with the Korean mandu, Chinese mantou and Japanese manju, although the Chinese and Japanese counterparts refer to different dishes. The name, depending on the language, can refer to a single dumpling or to more than one dumpling at a time; in English, it is often used as both a singular and plural form.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ouzb%C3%A9kistan-Ravioli_%281%29.jpg/212px-Ouzb%C3%A9kistan-Ravioli_%281%29.jpg,,
142,"Western Asia",TR,Turkey,Sarma(Sarmak),"Sarma is a dish of vine, cabbage, monk's rhubarb or chard leaves rolled around a filling usually based on a combination of grains, like bulgur or rice, and minced meat. It is found in the cuisines of the former Ottoman Empire from the Middle East to Southeastern Europe.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Dolma-Azerbaijan.jpg/330px-Dolma-Azerbaijan.jpg,,
143,"Western Asia",TR,Turkey,"Turkish delight(Lokum)","Turkish delight or lokum is a family of confections based on a gel of starch and sugar. Premium varieties consist largely of chopped dates, pistachios, and hazelnuts or walnuts bound by the gel; traditional varieties are often flavored with rosewater, mastic, Bergamot orange, or lemon. The confection is often packaged and eaten in small cubes dusted with icing sugar, copra, or powdered cream of tartar, to prevent clinging. Other common flavors include cinnamon and mint. In the production process, soapwort may be used as an emulsifying additive. The origin of the confection is not precisely known, but the candy is known to have been produced in Turkey as early as the late 1700s.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/TurkishDelightDisplay.jpg/413px-TurkishDelightDisplay.jpg,,
144,"Western Asia",TR,Turkey,Gullac(Gullac),"Gullac is a Turkish dessert made with milk, pomegranate and a special kind of pastry. It is consumed especially during Ramadan. Gullaç is considered by some as being the origin of baklava. The similarities between the two desserts are many, such as the use of thin layers of dough and nuts in between. Gullac dough is now prepared with corn starch and wheat flour, although originally it was made only with wheat starch. Gullac contains walnuts between the layers that are put in milk. Its first known mention is in a 14th-century book, Yinshan Zhenyao, a food and health manual written by Hu Sihui, a physician to the Mongol court of the Yuan dynasty. The book documents primarily Mongol and Turkic dishes that exhibit a limited amount of Chinese influence. Gullac was used for making Gullac Lokması and Gullac Baklavasi, old Turkish desserts made during the Ottoman period in Turkey. The etymology of Gullac is combination of two words Gullu and as, meaning "food with roses". Although the dessert itself may contain rose leaves and rose syrup, the name refers to the shape of layers which look similar to leaves of roses.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Gullach_and_strawberry.jpg/330px-Gullach_and_strawberry.jpg,,
145,"Western Asia",TR,Turkey,Baklava,"Baklava is a rich, sweet dessert pastry made of layers of filo filled with chopped nuts and sweetened and held together with syrup or frosting or honey. It is characteristic of the cuisines of the Levant and the broader Middle East, along with Greece, the South Caucasus, Balkans, Maghreb, and Central Asia.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Baklava_SiBon_Dekouan%C3%A9_Beyrouth_Liban.jpg/330px-Baklava_SiBon_Dekouan%C3%A9_Beyrouth_Liban.jpg,,
146,"Western Asia",SA,"Saudi Arabia",Manti,"Manti, also manty, mantu  or manta, is a type of dumpling popular in most Turkic cuisines, as well as in the cuisines of the South Caucasus, Central Asia, Afghanistan, Balkans, Bukharan Jews, Chinese Muslims. Nowadays, manti are also consumed throughout Russia and other post-Soviet countries, where the dish spread from the Central Asian republics. The dumplings typically consist of a spiced meat mixture, usually lamb or ground beef in a dough wrapper and either boiled or steamed. Size and shape vary significantly depending on the geographical location. Manti resemble the Chinese jiaozi and baozi, Korean mandu, Mongolian buuz and the Tibetan momo and the dish's name is cognate with the Korean mandu, Chinese mantou and Japanese manju, although the Chinese and Japanese counterparts refer to different dishes. The name, depending on the language, can refer to a single dumpling or to more than one dumpling at a time; in English, it is often used as both a singular and plural form.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ouzb%C3%A9kistan-Ravioli_%281%29.jpg/212px-Ouzb%C3%A9kistan-Ravioli_%281%29.jpg,,
147,"Western Asia",SA,"Saudi Arabia",Kabsa,"Kabsa is a mixed rice dish that originates from Saudi Arabia but is commonly regarded as a national dish in many Arab states of the Persian Gulf. The dish is made with rice and meat. It can often be found served in countries such as Yemen, Qatar, Oman, the United Arab Emirates, Bahrain, Saudi Arabia and Kuwait. The dish is also popularly known as makbus/machbus.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Kabsa.jpg/220px-Kabsa.jpg,,
148,"Western Asia",SA,"Saudi Arabia",Quzi,"Quzi also called qoozi or ghozi is a rice based dish popular in the Arab states of the Persian Gulf. It is served with very slow cooked lamb, roasted nuts, raisins and served over rice. It is considered one of Iraq's national dishes and introduced into Turkey by Arab immigrants. In Iraqi cuisine, it is usually prepared by stuffing the whole lamb with rice, vegetables, spices and nuts and slow cooking it over a closed or submerged oven. In some places in the Middle East it is buried in a pit containing burning coal or charcoal to get the smoky flavor.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Iraqi_Qoozi_.jpg/220px-Iraqi_Qoozi_.jpg,,
149,"Western Asia",LB,Lebanon,Kibbeh,"Kibbeh also kubba and other spellings, is a Levantine dish made of bulgur, minced onions, and finely ground lean beef, lamb, goat, or camel meat with Middle Eastern spices (cinnamon, nutmeg, clove, allspice). Other types of kibbeh may be shaped into balls or patties, and baked, cooked in broth, or served raw. Kibbeh is considered to be the national dish of many Middle Eastern countries. Kibbeh is a popular dish in Middle Eastern cuisine. Mainly, it is found in Lebanon, Syria, Palestine, Jordan, Egypt (kobeiba), Iraq, as well as Armenia (kuefteh), Iran, Israel, Cyprus (koupes) and in Turkey it is called icli kofte.(citation needed) It is also found throughout Latin American countries that received substantial numbers of immigrants from the Levant during the late 19th and early 20th centuries. In the region, the dish is particularly popular in the Caribbean coastline of Colombia, the Yucatan peninsula, Venezuela, and in Brazil.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kibbeh3.jpg/345px-Kibbeh3.jpg,,
150,"Western Asia",LB,Lebanon,Fattoush,"Fattoush (also fattush, fatush, fattoosh, and fattouche) is a Levantine salad made from toasted or fried pieces of khubz (Arabic flat bread) combined with mixed greens and other vegetables, such as radishes and tomatoes. Fattush is derived from the Arabic fatt "crush" and the suffix of Turkic origin -ush. Coining words this way was common in Levantine Arabic. Fattush belongs to the family of dishes known as fattat (plural of fatteh), which use stale flatbread as a base. Fattoush includes vegetables and herbs according to season and taste. The vegetables are cut into relatively large pieces compared to tabbouleh which requires ingredients to be finely chopped. Tanner's sumac is usually used to give fattoush its sour taste.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Fattoush_mixed-salad.jpg/375px-Fattoush_mixed-salad.jpg,,
151,"Western Asia",LB,Lebanon,Manakish,"Manakish, also manaqish, manaeesh or manakeesh or in singular form man'ousheh or mankousheh  is a popular Levantine food consisting of dough topped with thyme, cheese, or ground meat. Similar to a pizza, it can be sliced or folded, and it can be served either for breakfast or lunch. The word manaqish is the plural of the Arabic word manqushah (from the root verb naqasha 'to sculpt, carve out'), meaning that after the dough has been rolled flat, it is pressed by the fingertips to create little dips for the topping to lie in. Traditionally, women would bake dough in a communal oven in the morning, to provide their family with their daily bread needs, and would prepare smaller portions of dough with different toppings for breakfast at this time. Manakish are popular across the Levant, and can also be found in neighboring regions, and centers of Levantine emigration.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Manaqish.jpg/375px-Manaqish.jpg,,
152,"Western Asia",LB,Lebanon,tabbouleh,"Tabbouleh  is a Levantine vegetarian salad made mostly of finely chopped parsley, with tomatoes, mint, onion, bulgur (soaked, not cooked), and seasoned with olive oil, lemon juice, salt and pepper. Some variations add garlic or lettuce, or use semolina instead of bulgur. Tabbouleh is traditionally served as part of a mezze in the Arab world. Its popularity has grown in Western cultures",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flickr_-_cyclonebill_-_Tabbouleh.jpg/330px-Flickr_-_cyclonebill_-_Tabbouleh.jpg,,
153,"Western Asia",LB,Lebanon,Sfeeha,"Sfiha, is a pie-like dish originating from the Levant. It was introduced in Brazil and Argentina by Levantine immigrants, where it is known as esfiha or esfirra. In contrast to the modern use of lamb or beef, traditional sfiha are open-faced meat pies made with ground mutton. In Brazil, sfihas are popular street food because they are cheap and fast. Sfihas are oven baked and come in two shapes: folded into a triangular pastry like fatayer, and open-faced (4 inches round flat bread); with various toppings, including cheese, curd, lamb, beef or vegetables.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Sfiha2.jpg/375px-Sfiha2.jpg,,
154,"Western Asia",LB,Lebanon,Jallab,"Jallab is a type of fruit syrup popular in the Middle East made from carob, dates, grape molasses and rose water. Jallab is very popular in Jordan, Syria, Palestine and Lebanon. It is made mainly of grape molasses, grenadine syrup, and rose water, then smoked with Arabic incense. It is usually sold with crushed ice and floating pine nuts and raisins.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Jallab.jpg/330px-Jallab.jpg,,
155,"Western Asia",IR,Iran,Abgoosht,"Abgoosht (literally "meat juice") is an Iranian stew. It is also called Dizi, which refers to the traditional stoneware crocks it is served in. Some describe it as a "hearty mutton Persian soup thickened with chickpeas." A similar dish in Armenia is also called Abgoosht. The difference is that in Armenia beef rather than lamb is used.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Dizi.jpg/220px-Dizi.jpg,,
156,"Western Asia",IR,Iran,Gaz,"Gaz is an Iranian nougat originated in Isfahan. It is widely known as Persian Nougat in American and European countries. The sweet, milky honey (angebin) found on the Gaz plant is associated with manna, a food mentioned in the religious texts of the Abrahamic religions. The sticky white substance is formed from honeydew, which is exuded from the anus of the nymph of a psyllid insect, either Cyamophila astragalicola or C. dicora, in its final instar, which live on plants of Astragalus adscendens, and is collected annually and is combined with other ingredients including pistachio or almond kernels, rosewater and egg white.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Gaz_Candy_From_Iran.jpg/250px-Gaz_Candy_From_Iran.jpg,,
157,"Western Asia",IR,Iran,Tahdig,"Tahdig also known as crunchy rice, is a thin crust of slightly browned rice at the bottom of the cooking pot. It is produced during the cooking of rice over direct heat from a flame. Rice, bread or potato crust from the bottom of the pot is called tahdig in Iran. Tahdig is a specialty of Iranian cuisine consisting of crisp, caramelized rice taken from the bottom of the pot in which the rice (chelow) is cooked. It is traditionally served to guests at a meal. Ingredients commonly added to tahdig include yogurt and saffron, bread, potato, tomato, and fruits such as sour cherry.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Tahdig_rice_dish.jpg/220px-Tahdig_rice_dish.jpg,,
158,"Western Asia",IR,Iran,"Ghormeh Sabzi","Ghormeh Sabzi (also spelled as Qormeh Sabzi) is an Iranian herb stew. It is a very popular dish in Iran. The main ingredients are a mixture of sauteed herbs, consisting mainly of parsley, leeks or green onions, and coriander, seasoned with the key spice of dried fenugreek leaves. The herb mixture has many variations. Any dark bitter greens can be used, such as kale, mustard greens, turnip greens, etc.. although none are part of the original recipe.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ghormeh_Sabzi.JPG/250px-Ghormeh_Sabzi.JPG,,
159,"Western Asia",IR,Iran,"Persian Wedding Rice(Shirin polo)","Shirin polo, also commonly known as Persian wedding rice, or Rosh Hashanah rice, is a traditional Persian Jewish rice dish that is commonly served to mark special occasions such as weddings, Purim, Pesach, Rosh Hashanah and the high holidays. Shirin polo is considered a celebratory dish in the Persian Jewish community, with its preparation and consumption typically being given reserved for weddings, birthdays, and holidays such as Rosh Hashanah or Pesach. The dish typically consists of basmati or jasmine rice that has been cooked in a unique method, involving soaking and boiling in a large amount of water, before being combined with a water-oil mixture containing saffron and/or ground turmeric, which is left to steam.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Shirin_polo.jpg/300px-Shirin_polo.jpg,,
160,"Western Asia",JO,Jordan,Mansaf,"Mansaf is a traditional Arab dish made of lamb cooked in a sauce of fermented dried yogurt and served with rice or bulgur. It is a popular dish eaten throughout the Levant. It is the national dish of Jordan, and can also be found in Palestine, Iraq, Israel, Southern Syria and Saudi Arabia. The name of the dish comes from the term "large tray" or "large dish".",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Traditional_Mansaf_served_on_flatbread.jpg/330px-Traditional_Mansaf_served_on_flatbread.jpg,,
161,"Western Asia",JO,Jordan,"Galayet Bandora","Galayet bandora  is a simple Jordanian dish of tomatoes, onions, hot peppers (usually serranos or jalapenos), olive oil, and salt. It is popular across the Levant, but especially in Jordan on account of its easy preparation and cheap ingredients. To make the dish, the olive oil is heated in a large frying pan. The onions and peppers are diced and the tomatoes are cubed and optionally peeled. The onions are then added and cooked until translucent, at which point the rest of the ingredients are added and the mixture is sautéed until it is thick but not dry. Galayet bandora is usually eaten with warm pita bread, which is used to scoop it up, though galayet bandora can also be served over rice and eaten with utensils. When served in a restaurant or at a formal event, it is often garnished with toasted pine nuts. Many varieties of the dish exist, including ones with meat (ground beef or beef or lamb stew meat), fried eggs or garlic. It is believed to originate in the Ghor al-Safi and Ghor al Mazraa, the rural regions surrounding the Dead Sea that make up the "breadbasket" of Jordan. The hot climate in these regions of the Jordan Valley is ideal for growing tomatoes. Because it is an easy one-pot meal, galayet bandora is often eaten while camping or backpacking.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/%D9%82%D9%84%D8%A7%D9%8A%D8%A9_%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9.jpg/375px-%D9%82%D9%84%D8%A7%D9%8A%D8%A9_%D8%A8%D9%86%D8%AF%D9%88%D8%B1%D8%A9.jpg,,
162,"Western Asia",JO,Jordan,Arak,"Arak or araq is a Levantine unsweetened distilled spirit or  proof(citation needed) in the anise drinks family. It is a translucent white anise-flavored drink.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Arak_with_water_and_ice.jpg/375px-Arak_with_water_and_ice.jpg,,
163,"Western Asia",JO,Jordan,Kanafeh,"Kanafeh (also numerous alternative spellings) is a traditional Middle Eastern dessert made with thin noodle-like pastry, or alternatively fine semolina dough, soaked in sweet, sugar-based syrup, and typically layered with cheese, or with other ingredients such as clotted cream or nuts, depending on the region. It is popular in the Arab world, particularly the Levant and Egypt, and especially among Palestinians. In addition, variants are found in Turkey, Greece, and the Balkans, as well as in the South Caucasus. In Arabic, kunafa may refer to the string pastry itself, or to the entire dessert dish. In Turkish, the string pastry is known as tel kadayıf, and the cheese-based dessert that uses it as kunefe. In the Balkans, the shredded dough is similarly known as kadaif, and in Greece as kataifi, and is the basis of various dishes rolled or layered with it, including dessert pastries with nuts and sweet syrups. One of the most well-known preparations of kanafeh is knafeh nabulsiyeh, which originated in the Palestinian city of Nablus, and is the most representative and iconic Palestinian dessert. Knafeh nabilsiyeh uses a white-brine cheese called Nabulsi. It is prepared in a large round shallow dish, the pastry is colored with orange food coloring, and sometimes topped with crushed pistachio nuts.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kanafeh_Nabulsieh.jpg/390px-Kanafeh_Nabulsieh.jpg,,
164,"Western Asia",JO,Jordan,Qatayef,"Qatayef or Katayef is an Arab dessert commonly served during the month of Ramadan, a sort of sweet dumpling filled with cream or nuts. It can be described as folded pancake.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/%D9%82%D8%B7%D8%A7%D9%8A%D9%81_%D8%B9%D8%B5%D8%A7%D9%81%D9%8A%D8%B1%D9%8A2.jpg/375px-%D9%82%D8%B7%D8%A7%D9%8A%D9%81_%D8%B9%D8%B5%D8%A7%D9%81%D9%8A%D8%B1%D9%8A2.jpg,,
165,"Central Asia",IQ,Iraq,Osh,"Pilaf (US spelling), or pilau (UK spelling) is a rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere. At the time of the Abbasid Caliphate, such methods of cooking rice at first spread through a vast territory from India to Spain, and eventually to a wider world. The Spanish paella, and the South Asian pilau or pulao, and biryani, evolved from such dishes. Pilaf and similar dishes are common to Balkan, Caribbean, South Caucasian, Central Asian, East African, Eastern European, Latin American, Middle Eastern, and South Asian cuisines. It is a staple food and a popular dish in Afghanistan, Armenia, Azerbaijan, Bangladesh, China (notably in Xinjiang), Cyprus, Georgia, Greece (notably in Crete), India, Iraq (notably in Kurdistan), Iran, Israel,Kazakhstan, Kenya , Kyrgyzstan, Nepal, Pakistan, Romania, Russia, Tanzania (notably in Zanzibar), Tajikistan, Turkey, Turkmenistan, Uganda, and Uzbekistan.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Afghan_Palo.jpg/420px-Afghan_Palo.jpg,,
166,"Central Asia",IQ,Iraq,lepyoshka,"Tandyr nan, tandir non (Uzbek) or tonur nan, also called lepyoshka , is a type of leavened Central Asian bread similar to naan. Obi non or lepyoshka , is a kind of flatbread in Afghan, Tajik and Uzbek cuisine. It is shaped like a disc and thicker than naan. Obi non are baked in clay ovens called tandyr. Tohax , also known as toqach or toghach, is a type of tandoor bread. It is consumed within the Xinjiang Uyghur Autonomous Region of China, as well as in many regions of Central Asia (Kazakhstan, Kyrgyzstan, Uzbekistan).",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Taj_Lepeshki.jpg/330px-Taj_Lepeshki.jpg,,
167,"Central Asia",IQ,Iraq,Samsa,"Samsa (is a savoury meat pastry in Central Asian cuisines. In present-day nations of Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, as well as Xinjiang Uygur Autonomous Region of China, samsas are almost always baked and never fried. The traditional samsa is often baked in the tandoor, which is a special clay oven. The dough can be a simple bread dough or a layered pastry dough. The most common filling for traditional samsa is a mixture of minced lamb and onions, but chicken, minced beef and cheese varieties are also quite common from street vendors. Samsas with other fillings, such as potato or pumpkin (usually only when in season), can also be found. Central Asian samsa resemble buns stuffed with beef or lamb and vegetables. In Central Asia, samsas are often sold on the streets as a hot snack. They are sold at kiosks, where only samsas are made, or alternatively, at kiosks where other fast foods (such as hamburgers) are sold. Many grocery stores also buy samsas from suppliers and resell them.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27Parmuda%27-uzbek_samsa-02.jpg/330px-%27Parmuda%27-uzbek_samsa-02.jpg,,
168,"Central Asia",IQ,Iraq,"Corba(Corba food)","Chorba is one of various kinds of soup or stew found in national cuisines across the Balkans, North Africa, Central Europe, Eastern Europe, Central Asia, Middle East and the Indian subcontinent. Chorba or shorba is variously derived from the Arabic word meaning gravy or from a Persian term from shor ("salty, brackish") "water/stew" or from a hypothetical cognate word common to Arabic and Persian. Chorba is also called shorba.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ready_kurban_chorba.JPG/375px-Ready_kurban_chorba.JPG,,
169,"Central Asia",IQ,Iraq,Lagman,"Laghman  is a Central Asian dish of pulled noodles, meat and vegetables. Native Turkic words do not begin with L, so läghmän must be a loanword,probably from the Chinese lamian, although its taste and preparation are distinctly Uyghur. It is especially popular in Kazakhstan and Kyrgyzstan, where it is considered a national dish of the local Uyghur and Dungan ethnic minorities. It is also popular in Uzbekistan, Tajikistan and Northeastern Afghanistan, where chickpeas are added to it and in the Chitral and Gilgit regions of Northern Pakistan, where it is known as Kalli or Dau Dau. The Crimean Tatar cuisine also adopted lagman from the Uzbek culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uyghur_Lagman.jpg/330px-Uyghur_Lagman.jpg,,
170,"Central Asia",AZ,Azerbaijan,Osh,"Pilaf (US spelling), or pilau (UK spelling) is a rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere. At the time of the Abbasid Caliphate, such methods of cooking rice at first spread through a vast territory from India to Spain, and eventually to a wider world. The Spanish paella, and the South Asian pilau or pulao, and biryani, evolved from such dishes. Pilaf and similar dishes are common to Balkan, Caribbean, South Caucasian, Central Asian, East African, Eastern European, Latin American, Middle Eastern, and South Asian cuisines. It is a staple food and a popular dish in Afghanistan, Armenia, Azerbaijan, Bangladesh, China (notably in Xinjiang), Cyprus, Georgia, Greece (notably in Crete), India, Iraq (notably in Kurdistan), Iran, Israel,Kazakhstan, Kenya , Kyrgyzstan, Nepal, Pakistan, Romania, Russia, Tanzania (notably in Zanzibar), Tajikistan, Turkey, Turkmenistan, Uganda, and Uzbekistan.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Afghan_Palo.jpg/420px-Afghan_Palo.jpg,,
171,"Central Asia",AZ,Azerbaijan,lepyoshka,"Tandyr nan, tandir non (Uzbek) or tonur nan, also called lepyoshka , is a type of leavened Central Asian bread similar to naan. Obi non or lepyoshka , is a kind of flatbread in Afghan, Tajik and Uzbek cuisine. It is shaped like a disc and thicker than naan. Obi non are baked in clay ovens called tandyr. Tohax , also known as toqach or toghach, is a type of tandoor bread. It is consumed within the Xinjiang Uyghur Autonomous Region of China, as well as in many regions of Central Asia (Kazakhstan, Kyrgyzstan, Uzbekistan).",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Taj_Lepeshki.jpg/330px-Taj_Lepeshki.jpg,,
172,"Central Asia",AZ,Azerbaijan,Samsa,"Samsa (is a savoury meat pastry in Central Asian cuisines. In present-day nations of Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, as well as Xinjiang Uygur Autonomous Region of China, samsas are almost always baked and never fried. The traditional samsa is often baked in the tandoor, which is a special clay oven. The dough can be a simple bread dough or a layered pastry dough. The most common filling for traditional samsa is a mixture of minced lamb and onions, but chicken, minced beef and cheese varieties are also quite common from street vendors. Samsas with other fillings, such as potato or pumpkin (usually only when in season), can also be found. Central Asian samsa resemble buns stuffed with beef or lamb and vegetables. In Central Asia, samsas are often sold on the streets as a hot snack. They are sold at kiosks, where only samsas are made, or alternatively, at kiosks where other fast foods (such as hamburgers) are sold. Many grocery stores also buy samsas from suppliers and resell them.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27Parmuda%27-uzbek_samsa-02.jpg/330px-%27Parmuda%27-uzbek_samsa-02.jpg,,
173,"Central Asia",AZ,Azerbaijan,"Corba(Corba food)","Chorba is one of various kinds of soup or stew found in national cuisines across the Balkans, North Africa, Central Europe, Eastern Europe, Central Asia, Middle East and the Indian subcontinent. Chorba or shorba is variously derived from the Arabic word meaning gravy or from a Persian term from shor ("salty, brackish") "water/stew" or from a hypothetical cognate word common to Arabic and Persian. Chorba is also called shorba.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ready_kurban_chorba.JPG/375px-Ready_kurban_chorba.JPG,,
174,"Central Asia",AZ,Azerbaijan,Lagman,"Laghman  is a Central Asian dish of pulled noodles, meat and vegetables. Native Turkic words do not begin with L, so läghmän must be a loanword,probably from the Chinese lamian, although its taste and preparation are distinctly Uyghur. It is especially popular in Kazakhstan and Kyrgyzstan, where it is considered a national dish of the local Uyghur and Dungan ethnic minorities. It is also popular in Uzbekistan, Tajikistan and Northeastern Afghanistan, where chickpeas are added to it and in the Chitral and Gilgit regions of Northern Pakistan, where it is known as Kalli or Dau Dau. The Crimean Tatar cuisine also adopted lagman from the Uzbek culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uyghur_Lagman.jpg/330px-Uyghur_Lagman.jpg,,
175,"Central Asia",UZ,Uzbekistan,Osh,"Pilaf (US spelling), or pilau (UK spelling) is a rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere. At the time of the Abbasid Caliphate, such methods of cooking rice at first spread through a vast territory from India to Spain, and eventually to a wider world. The Spanish paella, and the South Asian pilau or pulao, and biryani, evolved from such dishes. Pilaf and similar dishes are common to Balkan, Caribbean, South Caucasian, Central Asian, East African, Eastern European, Latin American, Middle Eastern, and South Asian cuisines. It is a staple food and a popular dish in Afghanistan, Armenia, Azerbaijan, Bangladesh, China (notably in Xinjiang), Cyprus, Georgia, Greece (notably in Crete), India, Iraq (notably in Kurdistan), Iran, Israel,Kazakhstan, Kenya , Kyrgyzstan, Nepal, Pakistan, Romania, Russia, Tanzania (notably in Zanzibar), Tajikistan, Turkey, Turkmenistan, Uganda, and Uzbekistan.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Afghan_Palo.jpg/420px-Afghan_Palo.jpg,,
176,"Central Asia",UZ,Uzbekistan,lepyoshka,"Tandyr nan, tandir non (Uzbek) or tonur nan, also called lepyoshka , is a type of leavened Central Asian bread similar to naan. Obi non or lepyoshka , is a kind of flatbread in Afghan, Tajik and Uzbek cuisine. It is shaped like a disc and thicker than naan. Obi non are baked in clay ovens called tandyr. Tohax , also known as toqach or toghach, is a type of tandoor bread. It is consumed within the Xinjiang Uyghur Autonomous Region of China, as well as in many regions of Central Asia (Kazakhstan, Kyrgyzstan, Uzbekistan).",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Taj_Lepeshki.jpg/330px-Taj_Lepeshki.jpg,,
177,"Central Asia",UZ,Uzbekistan,Samsa,"Samsa (is a savoury meat pastry in Central Asian cuisines. In present-day nations of Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, as well as Xinjiang Uygur Autonomous Region of China, samsas are almost always baked and never fried. The traditional samsa is often baked in the tandoor, which is a special clay oven. The dough can be a simple bread dough or a layered pastry dough. The most common filling for traditional samsa is a mixture of minced lamb and onions, but chicken, minced beef and cheese varieties are also quite common from street vendors. Samsas with other fillings, such as potato or pumpkin (usually only when in season), can also be found. Central Asian samsa resemble buns stuffed with beef or lamb and vegetables. In Central Asia, samsas are often sold on the streets as a hot snack. They are sold at kiosks, where only samsas are made, or alternatively, at kiosks where other fast foods (such as hamburgers) are sold. Many grocery stores also buy samsas from suppliers and resell them.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27Parmuda%27-uzbek_samsa-02.jpg/330px-%27Parmuda%27-uzbek_samsa-02.jpg,,
178,"Central Asia",UZ,Uzbekistan,"Corba(Corba food)","Chorba is one of various kinds of soup or stew found in national cuisines across the Balkans, North Africa, Central Europe, Eastern Europe, Central Asia, Middle East and the Indian subcontinent. Chorba or shorba is variously derived from the Arabic word meaning gravy or from a Persian term from shor ("salty, brackish") "water/stew" or from a hypothetical cognate word common to Arabic and Persian. Chorba is also called shorba.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ready_kurban_chorba.JPG/375px-Ready_kurban_chorba.JPG,,
179,"Central Asia",UZ,Uzbekistan,Lagman,"Laghman  is a Central Asian dish of pulled noodles, meat and vegetables. Native Turkic words do not begin with L, so läghmän must be a loanword,probably from the Chinese lamian, although its taste and preparation are distinctly Uyghur. It is especially popular in Kazakhstan and Kyrgyzstan, where it is considered a national dish of the local Uyghur and Dungan ethnic minorities. It is also popular in Uzbekistan, Tajikistan and Northeastern Afghanistan, where chickpeas are added to it and in the Chitral and Gilgit regions of Northern Pakistan, where it is known as Kalli or Dau Dau. The Crimean Tatar cuisine also adopted lagman from the Uzbek culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uyghur_Lagman.jpg/330px-Uyghur_Lagman.jpg,,
